"filename", "language", "C++", "YAML", "Dart", "JSON", "Groovy", "Markdown", "Properties", "XML", "Java", "Swift", "HTML", "Ruby", "comment", "blank", "total"
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/windows/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/windows/runner/flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/windows/runner/flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/windows/runner/main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/windows/runner/resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/windows/runner/utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/windows/runner/utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/windows/runner/win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/windows/runner/win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 539, 32, 182, 248, 94, 13, 8, 482, 4, 52, 19, 65, 295, 349, 2382
